Ensemble-Condition,S-NR,,Q-NR,,Q-SP,,Q-DP,,Q-NR,,Q-SP,,Q-DP,,Q-NR,,Q-SP,,Q-DP,,T-NR,,T-SP,,T-DP,,D-NR,,D-SP,,D-NR,,D-SP,,D-NR,,D-SP,,D-NR,,D-SP,
Composer-Leader,Haydn-VN0,,Haydn-V1,,Haydn-V1,,Haydn-V1,,Haydn-V1,,Haydn-V2,,Haydn-V2,,Beethoven-VN1,,Beethoven-VN1,,Beethoven-VN1,,Dohnányi-V0,,Dohnányi-V0,,Dohnányi-V0,,Mozart-VN1_VA,,Mozart-VN1_VA,,Mozart-VN1_VN2,,Mozart-VN1_VN2,,Mozart-VN2_VA,,Mozart-VN2_VA,,Mozart-VN2_VN1,,Mozart-VN2_VN1,
#,Solo Haydn,Annotator IDs,Quartet Haydn Leader VN1,Annotator IDs,Quartet Haydn Leader VN1,Annotator IDs,Quartet Haydn Leader VN1,Annotator IDs,Quartet Haydn Leader VN2,Annotator IDs,Quartet Haydn Leader VN2,Annotator IDs,Quartet Haydn Leader VN2,Annotator IDs,Quartet Beethoven Leader VN1,Annotator IDs,Quartet Beethoven Leader VN1,Annotator IDs,Quartet Beethoven Leader VN1,Annotator IDs,Trio Dohnányi D-AM-VN0-NR,Annotator IDs,Trio Dohnányi D-AM-VN0-SP,Annotator IDs,Trio Dohnányi D-AM-VN0-DP,Annotator IDs,Duet Mozart D-AM-VN1_VA-NR,Annotator IDs,Duet Mozart D-AM-VN1_VA-SP,Annotator IDs,Duet Mozart D-AM-VN1_VN2-NR,Annotator IDs,Duet Mozart D-AM-VN1_VN2-SP,Annotator IDs,Duet Mozart D-AM-VN2_VA-NR,Annotator IDs,Duet Mozart D-AM-VN2_VA-SP,Annotator IDs,Duet Mozart D-AM-VN2_VN1-NR,Annotator IDs,Duet Mozart D-AM-VN2_VN1-SP,Annotator IDs
20,,,VN2-Q-JH-VN1-NR-8.txt,18,VN2-Q-JH-VN1-SP-8.txt,18,VN2-Q-JH-VN1-DP-8.txt,18,VN2-Q-JH-VN2-NR-5.txt,18,VN2-Q-JH-VN2-SP-5.txt,18,VN2-Q-JH-VN2-DP-5.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,VA-Q-JH-VN1-NR-7.txt,18,VA-Q-JH-VN1-SP-7.txt,18,VA-Q-JH-VN1-DP-7.txt,18,VA-Q-JH-VN2-NR-6.txt,18,VA-Q-JH-VN2-SP-6.txt,18,VA-Q-JH-VN2-DP-6.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,VC-Q-JH-VN1-NR-7.txt,18,VC-Q-JH-VN1-SP-7.txt,18,VC-Q-JH-VN1-DP-7.txt,18,VC-Q-JH-VN2-NR-6.txt,18,VC-Q-JH-VN2-SP-6.txt,18,VC-Q-JH-VN2-DP-6.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,VN1-Q-JH-VN1-NR-7.txt,18,VN1-Q-JH-VN1-SP-7.txt,18,VN1-Q-JH-VN1-DP-7.txt,18,VN1-Q-JH-VN2-NR-6.txt,18,VN1-Q-JH-VN2-SP-6.txt,18,VN1-Q-JH-VN2-DP-6.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,VN2-Q-JH-VN1-NR-7.txt,18,VN2-Q-JH-VN1-SP-7.txt,18,VN2-Q-JH-VN1-DP-7.txt,18,VN2-Q-JH-VN2-NR-6.txt,18,VN2-Q-JH-VN2-SP-6.txt,18,VN2-Q-JH-VN2-DP-6.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,VA-Q-JH-VN1-NR-6.txt,18,VA-Q-JH-VN1-SP-6.txt,18,VA-Q-JH-VN1-DP-6.txt,18,VA-Q-JH-VN2-NR-7.txt,18,VA-Q-JH-VN2-SP-7.txt,18,VA-Q-JH-VN2-DP-7.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,VC-Q-JH-VN1-NR-6.txt,18,VC-Q-JH-VN1-SP-6.txt,18,VC-Q-JH-VN1-DP-6.txt,18,VC-Q-JH-VN2-NR-7.txt,18,VC-Q-JH-VN2-SP-7.txt,18,VC-Q-JH-VN2-DP-7.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,VN1-Q-JH-VN1-NR-6.txt,18,VN1-Q-JH-VN1-SP-6.txt,18,VN1-Q-JH-VN1-DP-6.txt,18,VN1-Q-JH-VN2-NR-7.txt,18,VN1-Q-JH-VN2-SP-7.txt,18,VN1-Q-JH-VN2-DP-7.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,VN2-Q-JH-VN1-NR-6.txt,18,VN2-Q-JH-VN1-SP-6.txt,18,VN2-Q-JH-VN1-DP-6.txt,18,VN2-Q-JH-VN2-NR-7.txt,18,VN2-Q-JH-VN2-SP-7.txt,18,VN2-Q-JH-VN2-DP-7.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,VA-Q-JH-VN1-NR-5.txt,18,VA-Q-JH-VN1-SP-5.txt,18,VA-Q-JH-VN1-DP-5.txt,18,VA-Q-JH-VN2-NR-8.txt,18,VA-Q-JH-VN2-SP-8.txt,18,VA-Q-JH-VN2-DP-8.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,VC-Q-JH-VN1-NR-5.txt,18,VC-Q-JH-VN1-SP-5.txt,18,VC-Q-JH-VN1-DP-5.txt,18,VC-Q-JH-VN2-NR-8.txt,18,VC-Q-JH-VN2-SP-8.txt,18,VC-Q-JH-VN2-DP-8.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,VN1-Q-JH-VN1-NR-5.txt,18,VN1-Q-JH-VN1-SP-5.txt,18,VN1-Q-JH-VN1-DP-5.txt,18,VN1-Q-JH-VN2-NR-8.txt,18,VN1-Q-JH-VN2-SP-8.txt,18,VN1-Q-JH-VN2-DP-8.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,VN2-Q-JH-VN1-NR-5.txt,18,VN2-Q-JH-VN1-SP-5.txt,18,VN2-Q-JH-VN1-DP-5.txt,18,VN2-Q-JH-VN2-NR-8.txt,18,VN2-Q-JH-VN2-SP-8.txt,18,VN2-Q-JH-VN2-DP-8.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,VA-Q-JH-VN1-NR-4.txt,18,VA-Q-JH-VN1-SP-4.txt,18,VA-Q-JH-VN1-DP-4.txt,18,VA-Q-JH-VN2-NR-9.txt,18,VA-Q-JH-VN2-SP-9.txt,18,VA-Q-JH-VN2-DP-9.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,VC-Q-JH-VN1-NR-4.txt,18,VC-Q-JH-VN1-SP-4.txt,18,VC-Q-JH-VN1-DP-4.txt,18,VC-Q-JH-VN2-NR-9.txt,18,VC-Q-JH-VN2-SP-9.txt,18,VC-Q-JH-VN2-DP-9.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,VN1-Q-JH-VN1-NR-4.txt,18,VN1-Q-JH-VN1-SP-4.txt,18,VN1-Q-JH-VN1-DP-4.txt,18,VN1-Q-JH-VN2-NR-9.txt,18,VN1-Q-JH-VN2-SP-9.txt,18,VN1-Q-JH-VN2-DP-9.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,VN2-Q-JH-VN1-NR-4.txt,18,VN2-Q-JH-VN1-SP-4.txt,18,VN2-Q-JH-VN1-DP-4.txt,18,VN2-Q-JH-VN2-NR-9.txt,18,VN2-Q-JH-VN2-SP-9.txt,18,VN2-Q-JH-VN2-DP-9.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,VA-Q-JH-VN1-NR-3.txt,18,VA-Q-JH-VN1-SP-3.txt,18,VA-Q-JH-VN1-DP-3.txt,18,VA-Q-JH-VN2-NR-10.txt,18,VA-Q-JH-VN2-SP-10.txt,18,VA-Q-JH-VN2-DP-10.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,VC-Q-JH-VN1-NR-3.txt,18,VC-Q-JH-VN1-SP-3.txt,18,VC-Q-JH-VN1-DP-3.txt,18,VC-Q-JH-VN2-NR-10.txt,18,VC-Q-JH-VN2-SP-10.txt,18,VC-Q-JH-VN2-DP-10.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,VN1-Q-JH-VN1-NR-3.txt,18,VN1-Q-JH-VN1-SP-3.txt,18,VN1-Q-JH-VN1-DP-3.txt,18,VN1-Q-JH-VN2-NR-10.txt,18,VN1-Q-JH-VN2-SP-10.txt,18,VN1-Q-JH-VN2-DP-10.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,VN2-Q-JH-VN1-NR-3.txt,18,VN2-Q-JH-VN1-SP-3.txt,18,VN2-Q-JH-VN1-DP-3.txt,18,VN2-Q-JH-VN2-NR-10.txt,18,VN2-Q-JH-VN2-SP-10.txt,18,VN2-Q-JH-VN2-DP-10.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,VA-Q-JH-VN1-NR-2.txt,18,VA-Q-JH-VN1-SP-2.txt,18,VA-Q-JH-VN1-DP-2.txt,18,VA-Q-JH-VN2-NR-11.txt,18,VA-Q-JH-VN2-SP-11.txt,18,VA-Q-JH-VN2-DP-11.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,VC-Q-JH-VN1-NR-2.txt,18,VC-Q-JH-VN1-SP-2.txt,18,VC-Q-JH-VN1-DP-2.txt,18,VC-Q-JH-VN2-NR-11.txt,18,VC-Q-JH-VN2-SP-11.txt,18,VC-Q-JH-VN2-DP-11.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,VN1-Q-JH-VN1-NR-2.txt,18,VN1-Q-JH-VN1-SP-2.txt,18,VN1-Q-JH-VN1-DP-2.txt,18,VN1-Q-JH-VN2-NR-11.txt,18,VN1-Q-JH-VN2-SP-11.txt,18,VN1-Q-JH-VN2-DP-11.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,VN2-Q-JH-VN1-NR-2.txt,18,VN2-Q-JH-VN1-SP-2.txt,18,VN2-Q-JH-VN1-DP-2.txt,18,VN2-Q-JH-VN2-NR-11.txt,18,VN2-Q-JH-VN2-SP-11.txt,18,VN2-Q-JH-VN2-DP-11.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,VA-Q-JH-VN1-NR-1.txt,18,VA-Q-JH-VN1-SP-1.txt,18,VA-Q-JH-VN1-DP-1.txt,18,VA-Q-JH-VN2-NR-12.txt,18,VA-Q-JH-VN2-SP-12.txt,18,VA-Q-JH-VN2-DP-12.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,VC-Q-JH-VN1-NR-1.txt,18,VC-Q-JH-VN1-SP-1.txt,18,VC-Q-JH-VN1-DP-1.txt,18,VC-Q-JH-VN2-NR-12.txt,18,VC-Q-JH-VN2-SP-12.txt,18,VC-Q-JH-VN2-DP-12.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,VN1-Q-JH-VN1-NR-1.txt,18,VN1-Q-JH-VN1-SP-1.txt,18,VN1-Q-JH-VN1-DP-1.txt,18,VN1-Q-JH-VN2-NR-12.txt,18,VN1-Q-JH-VN2-SP-12.txt,18,VN1-Q-JH-VN2-DP-12.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,VN2-Q-JH-VN1-NR-1.txt,18,VN2-Q-JH-VN1-SP-1.txt,18,VN2-Q-JH-VN1-DP-1.txt,18,VN2-Q-JH-VN2-NR-12.txt,18,VN2-Q-JH-VN2-SP-12.txt,18,VN2-Q-JH-VN2-DP-12.txt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
